ID,Title,Abstract
176,RELT -- Visualizing Trees on Mobile Devices,"The small screens on increasingly used mobile devices challenge the traditional visualization methods designed for desktops. This paper presents a method called ""Radial Edgeless Tree"" (RELT) for visualizing trees in a 2-dimensional space. It combines the existing connection tree drawing with the space-filling approach to achieve the efficient display of trees in a small geometrical area, such as the screen that are commonly used in mobile devices. We recursively calculate a set of non-overlapped polygonal nodes that are adjacent in the hierarchical manner. Thus, the display space is fully used for displaying nodes, while the hierarchical relationships among the nodes are presented by the adjacency (or boundary-sharing) of the nodes. It is different from the other traditional connection approaches that use a node-link diagram to present the parent-child relationships which waste the display space. The hierarchy spreads from north-west to south-east in a top-down manner which naturally follows the traditional way of human perception of hierarchies. We discuss the characteristics, advantages and limitations of this new technique and suggestions for future research."
177,A Mobile Interface for Hierarchical Information Visualization and Navigation,"There is a dramatic increase in the population who use mobile computing devices. Though the hardware becomes more powerful, effective support for information rendering on small screens very much lags behind. To display hierarchical information, researchers have proposed many algorithms for desktop screen visualization. Such algorithms are generally divided into connection and enclosure. Connection approach displays hierarchy with a clear structure but consume display area. Enclosure can maximally utilize the screen space but the layout is essentially implicit. This paper describes a new Radial Edgeless Tree (RELT) for visualizing hierarchical data on palm sized devices. The aim of RELT is to combine the advantages of connection and enclosure approaches. By recursively partitioning the display area, this technique maximizes the space usage. The structural clarity of layout can be reached by arranging location of non-overlapping regions. RELT can be adapted for visualizing structural information for various applications."
178,Managing Hierarchical Information on Small Screens,"This paper presents a visualization methodology called Radial Edgeless Tree (RELT) for visualizing and navigating hierarchical information on mobile interfaces. RELT is characterized by recursive division of a polygonal display area, space-filling, maximum screen space usage, and clarity of the hierarchical structure. It is also general and flexible enough to allow users to customize the root location and stylize the layout. The paper presents the general RELT drawing algorithm that is adaptable and customizable for different applications. We demonstrate the algorithm's application for stock market visualization, and also present an empirical study on an emulated implementation with a currently used cell phone interface in terms of their performances in finding desired information."
179,Visualizing and Navigating Hierarchical Information on Mobile User Interfaces,"This paper presents a visualization approach called Radial Edgeless Tree (RELT) for visualizing and navigating hierarchical information on small screens. Major advantages of the RELT approach include: elegance recursive division of the display area, space-filling, maximum usage of screen estate, and clarity of the hierarchical structure. It offers the flexibility such that users can customize the hierarchy's root location and stylize the layout. The RELT drawing algorithm is adaptable and customizable for different application domains. We have implemented the RELT interface on the Google Android emulator. The paper presents the Android implementation, and then provides an analytical and empirical comparison of the Android implementation with a traditional cell phone interface in terms of their performances in navigating hierarchical information."
180,An algorithm for blob hierarchy layout,"We present an algorithm for the aesthetic drawing of basic hierarchical blob structures, of the kind found in higraphs and statecharts and in other diagrams in which hierarchy is depicted as topological inclusion. Our work could also be useful in window system dynamics, and possibly also in things like newspaper layout, etc. Several criteria for aesthetics are formulated, and we discuss their motivation, our methods of implementation and the algorithm's performance."
181,An algorithm for blob hierarchy layout,"We present an algorithm for the aesthetic drawing of basic hierarchical blob structures, of the kind found in higraphs and statecharts and in other diagrams in which hierarchy is depicted as topological inclusion. Our work could also be useful in Web page design, window system dynamics, and possibly also newspaper layout, etc. Several criteria for aesthetics are formulated, and we discuss their motivation, our methods of implementation and the algorithm's performance."
182,A linear algorithm for compact box-drawings of trees,"In a box-drawing of a rooted tree, each node is drawn by a rectangular box of prescribed size, no two boxes overlap each other, all boxes corresponding to siblings of the tree have the same x-coordinate at their left sides, and a parent node is drawn at a given distance apart from its first child. A box drawing of a tree is compact if it attains the minimum possible rectangular area enclosing the drawing. We give a linear-time algorithm for finding a compact box-drawing of a tree. A known algorithm does not always find a compact box-drawing and takes time $O(n^2)$ if a tree has n nodes."
183,A linear algorithm for compact box-drawings of trees,"In a box-drawing of a rooted tree, each node is drawn by a rectangular box of prescribed size, no two boxes overlap each other, all boxes corresponding to siblings of the tree have the same x-coordinate at their left sides, and a parent node is drawn at a given distance apart from its first child. A box drawing of a tree is compact if it attains the minimum possible rectangular area enclosing the drawing. We give a linear-time algorithm for finding a compact box-drawing of a tree. A known algorithm does not always find a compact box-drawing and takes time $O(n^2)$ if a tree has n nodes."
184,A novel method for large tree visualization,"Many genomic and proteomic analyses generate as a result a tree of genes or proteins. These trees are often large (containing tens of thousands of nodes and edges), and need a visualization tool to fully display all the information contained in the tree. Clustering analysis can be performed on these trees to obtain clusters of proteins, and we need an efficient way to visualize the clustering results. We present a novel tree visualization tool to help with such analyses."
185,"DOITrees Revisited: Scalable, Space-Constrained Visualization of Hierarchical Data","This paper extends previous work on focus+context visualizations of tree-structured data, introducing an efficient, space-constrained, multi-focal tree layout algorithm (TreeBlock) and techniques at both the system and interactive levels for dealing with scale. These contributions are realized in a new version of the Degree-Of-Interest Tree browser, supporting real-time interactive visualization and exploration of data sets containing on the order of a million nodes."
186,"Method, apparatus, and program product for visualizing tree structured information","Apparatus, methods, and computer program products are disclosed that perform computationally efficient layout of hierarchical data structures."
187,Drawing Contour Trees in the Plane,"The contour tree compactly describes scalar field topology. From the viewpoint of graph drawing, it is a tree with attributes at vertices and optionally on edges. Standard tree drawing algorithms emphasize structural properties of the tree and neglect the attributes. Applying known techniques to convey this information proves hard and sometimes even impossible. We present several adaptions of popular graph drawing approaches to the problem of contour tree drawing and evaluate them. We identify five aesthetic criteria for drawing contour trees and present a novel algorithm for drawing contour trees in the plane that satisfies four of these criteria. Our implementation is fast and effective for contour tree sizes usually used in interactive systems (around 100 branches) and also produces readable pictures for larger trees, as is shown for a $sim 800$ branch example."
188,Skeletal images as visual cues in graph visualization,"The problem of graph layout and drawing is fundamental to many aproaches to the visualization of relational information structures. As the data set grows, the visualization problem is compounded by the need to reconcile the user's need for orientation cues with the danger of information overload. Put simply: How can we limit the number of visual elements on the screen so as not to overwhelm the user yet retain enough information that the user is able to navigate and explore the data set confidently? How can we provide orientational cues so that a user can understand the location of the current viewpoint in a large data set? These are problems inherent not only to graph drawing but information visualization in general. We propose a method which extracts the significant features of a directed acyclic graph as the basis for navigation"
189,Latour -- A Tree Visualisation System,"This paper presents some of the most important features of a tree visualisation system called Latour, developed for the purposes of information visualisation. This system includes a number of interesting and unique characteristics, for example the provision for visual cues based on complexity metrics on graphs, which represent general principles that, in our view, graph based information visualisation systems should generally offer."
190,Graph Visualization and Navigation in Information Visualization: A Survey,"This is a survey on graph visualization and navigation techniques, as used in information visualization. Graphs appear in numerous applications such as Web browsing, state-transition diagrams, and data structures. The ability to visualize and to navigate in these potentially large, abstract graphs is often a crucial part of an application. Information visualization has specific requirements, which means that this survey approaches the results of traditional graph drawing from a different perspective."
191,Embeddings of complete binary trees into extended grids with edge-congestion 1,"Let G and H be two simple, undirected graphs. An embedding of the graph G into the graph H is an injective mapping f from the vertices of G to the vertices of H, together with a mapping which assigns to each edge [u, v] of G a path between f (u) and f (v) in H. The extended grid EM(r, s) is the graph whose vertex set is the set of pairs on nonnegative integers, (i, j) : 0 <= i < r, 0 <= j < s, in which there is an edge between vertices (i, j) and (k, l) if and only if |I - k| <= 1 and |j - l| <= 1. In this paper, we give an embedding of any complete binary tree of odd height into its optimal square extended grid. This embedding has edge-congestion 1, dilation 2^(n-2) + 1, and its average dilation is less than 1.12. We also show that an embedding of a complete binary tree of odd height into its optimal grid, which is obtained from the embedding into the optimal extended grid by a simple transformation, has edge-congestion 2, dilation 2^(n-1), and it creates in the grid far fewer edges of congestion 2 than the embedding from Zienicke (1990)."
192,Tree visualization system and method based upon a compressed half-plane model of hyperbolic geometry,"A node-link structure is displayed within a display area, having a narrow rectangular shape with an edge along one side acting as a horizon of a hyperbolic space half-plane. Lower level node features that share a parent node feature have centers of area positioned on the display in order along a line parallel with the horizon, with sufficiently similar spacings along an axis perpendicular to the horizon from the region around a parent node feature, and with sufficiently similar spacings in a dimension parallel to the horizon from adjacent node features along the line, that the lower level node features sharing the parent node feature are perceptible as a group of related node features. The half-plane model with compression is used for layout of the node-link data, and the hyperbolic layout data is mapped to a Euclidean space for display."
193,Bubble Hierarchies,"We introduce bubble hierarchies as an approach to generating algorithmic art from random hierarchies. The technique is based on repeatedly drawing color-coded circles to illustrate parent--child relationships. The algorithm is simple and produces densely packed structures similar to the concept of Apollonian gaskets. We demonstrate the influence of different parameters on the visual outcome, such as the number of created circles or the color encoding. Our algorithm also supports multiple seeding points and obstacles that can be used to influence the layout of the hierarchy."
194,Visual Realism for the Visualization of Software Metrics,"The visualization techniques used in current software visualization frameworks make use of a limited set of graphical elements to highlight relevant aspects of a software system. Typical examples of such elements are text, simple geometric shapes and uniform color fills. Although human visual perception enables rapid processing of additional visual cues like shading and texture, they are not used. We contend that such 2D and 3D computer graphics techniques for achieving visual realism can be used to increase the information throughput of software visualization techniques. Visualization results are presented to show how treemaps, cushions, color, texture, and bump mapping can be used to visualize software metrics of hierarchically organized elements of a software system"
195,PolyPlane: An Implementation of a New Layout Algorithm For Trees In Three Dimensions,
196,Drawing Trees Symmetrically in Three Dimensions,"Symmetric graph drawing enables a clear understanding of the structure of the graph. Previous work on symmetric graph drawing has focused on two dimensions. Symmetry in three dimensions is much richer than that of two dimensions. This is the first paper to extend symmetric graph drawing into three dimensions. More specifically, the paper investigates the problem of drawing trees symmetrically in three dimensions. First, we suggest a model for drawing trees symmetrically in three dimensions. Based on this model, we present a linear time algorithm for finding the maximum number of three-dimensional symmetries in trees. We also present a three-dimensional symmetric drawing algorithm for trees."
197,Visualizing Biodiversity with Voronoi Treemaps,"Introduced in 2005, the Voronoi treemap algorithm is an information visualization technique for displaying hierarchical data. Voronoi treemaps use weighted, centroidal Voronoi diagrams to create a nested tessellation of convex polygons. However, despite appealing qualities, few real world examples of Voronoi treemaps exist. In this paper, we present a multi-touch tabletop application called Involv that uses the Voronoi treemap algorithm to create an interactive visualization for the Encyclopedia of Life. Involv is the result of a year-long iterative development process and includes over 1.2 million named species organized in a nine-level hierarchy. Working in the domain of life sciences, we have encountered the need to display supplemental hierarchical data to augment information in the treemap. Thus we propose an extension of the Voronoi treemap algorithm that employs force-directed graph drawing techniques both to guide the construction of the treemap and to overlay a supplemental hierarchy."
198,The Binary Tree as an Interconnection Network: Applications to Multiprocessor Systems and VLSI,"The binary tree is a natural way to organize complex computations by a computer. For problems that can be naturally divided into a tree structure, a great deal of parallelism may be employed. In this paper we examine several aspects of the binary tree structure as it relates to both multiprocessor systems and to VISI circuit design. First, we present an algorithm for mapping an arbitrary binary tree onto the plane. An analysis shows the density of this mapping. Second, we consider the problem of routing messages within a binary tree under the assumption that certain nodes may be faulty. Finally, we analyze the binary tree's capacity to transfer information between nodes and we compare it to the capacity of the linear array and the grid."
199,Three-Dimensional EncCon Tree,"This paper describes a three-dimensional extension of a enclosure+connection layout technique, called EncCon tree. The three-dimensional visualization includes layout and navigation. The layout algorithm directly generalizes the two-dimensional EncCon tree layout algorithm to three-dimensional space in which nodes at the same level of the hierarchy are placed onto the same plane. The interactive navigation uses standard three-dimensional viewing techniques which include view transformation, rotation and zoom."
200,Creating Visual Browsers for Large-Scale Online Auctions,"This chapter discusses the requirements raised for running online auctions as well as the technical issues on the design of graphical user interfaces and how we could use these graphical interfaces to help users navigate visualization technique called EncCon as well as the design of graphic attributes that can be used to present the domain specific attributes of the auction items and the relational structures among these items, and these graphic presentations will provide users with a clear map showing the possible paths to the target items. We will demonstrate the effectiveness of our techniques by illustrating an online auction prototype that simulates the ordinary auction activities with the assistance of visualization."
201,TreemapBar: Visualizing Additional Dimensions of Data in Bar Chart,"Bar chart is a very common and simple graph that is mainly used to visualize simple x, y plots of data for numerical comparisons by partitioning the categorical data values into bars and typically limited to operate on highly aggregated dataset. In today's growing complexity of business data with multi dimensional attributes using bar chart itself is not sufficient to deal with the representation of such business dataset and it also not utilizes the screen space efficiently.Nevertheless, bar chart is still useful because of its shape create strong visual attention to users at first glance than other visualization techniques. In this article, we present a treemap bar chart + tablelens interaction technique that combines the treemap and bar chart visualizations with a tablelens based zooming technique that allows users to view the detail of a particular bar when the density of bars increases. In our approach, the capability of the original bar chart and treemaps for representing complex business data is enhanced and the utilization of display space is also optimized."
202,Degree-of-Interest Visualization for Ontology Exploration,"In recent years, improvements in semantic web technologies have given us new expressive description languages for modeling knowledge domains — the so called ontologies. Nevertheless, ontology editors lack of easy and intuitive user interfaces, so that the exploration and creation of ontologies is often too difficult to be efficient. In this short paper, we introduce a new tree widget which utilizes sophisticated visualization and interaction features for ontology exploration and editing as a work in progress study. Due to space limitations we co+ncentrate here on the aspect of ontology browsing."
203,Human perception of structure in shaded space-filling visualizations,"Very early in the object recognition process the human visual system extracts shading information. While shading can enhance the visibility of structures, it can have a negative impact on the judgment of sizes of elements in a structure. In certain visualization systems the underlying hierarchical structure is not noticeably explicit, such as in space-filling techniques. We hypothesize that in such cases, shading can make the structure more explicit. In this paper, we report the results of two experiments designed to investigate the effects of shading information on extracting the structure in space-filling visualizations. In the first experiment subjects performed better with the visualization tool with shading on structure-based tasks. Our results do not show that shading impairs users' judgment on size-based tasks. A subjective evaluation shows that users preferred interacting with the system when shading was available. The second experiment was designed to investigate further users' capacity to identify structural elements within the space-filling visualization. A substructure recognition task was employed in this experiment and results show that users are capable of identifying sub-structures quicker and with fewer errors when the visualization tool was equipped with shading information than without. The results of both experiments provide evidence that shading information can be used to effectively obtain structural information from space-filling visualizations."
204,Ripple Presentation for Tree Structures with Historical Information,"We propose a new method for representing tree structures with historical information. We call this method Ripple Presentation. Categories of nodes are represented by the angles of edges and elapsed time is represented by the length of the edges. In this way, the method can express both the time series and categories, which has been diffic lt to achieve with either tree structures or lists. As a result, users can nderstand the overall information from their viewpoint view and discover target information effectively. We applied the method to trackback links of Weblog articles and the latest articles of News sites using RSS on Web as a resource."
205,Data Jewelry Box: A Graphics Showcase for Large-Scale Hierarchical Data Visualization,"We see many kinds of large-scale hierarchical data in our daily lives, such as file systems of computers, company organizations, and category-based Web search sites such as Yahoo. Most of the GUIs for these data sources first represent a higher level of the data, and provide an interface so that users can select an interesting portion of the data and locally explore the lower levels. On the other hand, there are not many visualization techniques that give an overview of the data by placing all of the lower-level data onto a display region. How can we implement such a technique that represents all the data in one display, just like the showcases of a jewelry store displays all the jewels in the shop? That is the motivation of this research. The report presents a visualization technique that places all of the lowest-level portions of a hierarchical data set on a display space. It first groups icons that denote the lowest-level data, and then generates rectangles that enclose each group of icons. It repeats the process of generating rectangles that enclose the lower-level rectangles, until the highest-level rectangles are enclosed by the largest rectangle. To use the display space most reasonably, our technique efficiently searches for gaps where rectangles can be located without overlapping adjacent rectangles. We use Delaunay triangular meshes that connect the centers of the rectangles to quickly find the gaps."
206,HeiankyoView: Orthogonal Representation of Large-scale Hierarchical Data,"Visualization is very useful for various large-scale computing fields. One of the authors has reported a hierarchical data visualization technique, and applied it to various large-scale computing data including large-scale Web sites, but also for data mining results, Web search queries, network intrusion detection results, and distributed processes. This paper presents the new hierarchical data visualization technique, HeiankyoView, which can be also applied to various large-scale computing fields. It places data items of input data while it packs the items as many as possible in small display areas, and aligns the items along X-axis and Y-axis of the display area. The technique represents nodes of hierarchical data as a set of rectangles, which are parallel to X-axis and Y-axis. Here the technique orthogonally divides the display area by extension lines of edges of previously placed rectangles. By referring the grid-like subspaces of the display area, the technique quickly finds the adequate positions to place remaining rectangles."
207,Hierarchical Data Visualization Using a Fast Rectangle-Packing Algorithm,We present a technique for the representation of large-scale hierarchical data which aims to provide good overviews of complete structures and the content of the data in one display space. The technique represents the data by using nested rectangles. It first packs icons or thumbnails of the lowest-level data and then generates rectangular borders that enclose the packed data. It repeats the process of generating rectangles that enclose the lower-level rectangles until the highest-level rectangles are packed. We present two rectangle-packing algorithms for placing items of hierarchical data onto display spaces. The algorithms refer to Delaunay triangular meshes connecting the centers of rectangles to find gaps where rectangles can be placed. The first algorithm places rectangles where they do not overlap each other and where the extension of the layout area is minimal. The second algorithm places rectangles by referring to templates describing the ideal positions for nodes of input data. It places rectangles where they do not overlap each other and where the combination of the layout area and the distances between the positions described in the template and the actual positions is minimal. It can smoothly represent time-varying data by referring to templates that describe previous layout results. It is also suitable for semantics-based or design-based data layout by generating templates according to the semantics or design.
208,Reconfigurable Disc Trees for Visualizing Large Hierarchical Information Space,"We present a new visualization technique, called RDT (Reconfigurable Disc Tree) which can alleviate the disadvantages of cone trees significantly for large hierarchies while maintaining its context of using 3D depth. In RDT, each node is associated with a disc around which its children are placed. Using discs instead of cones as the basic shape in RDT has several advantages: significant reduction of occluded region, sharp increase in number of displayed nodes, and easy projection onto plane without visual overlapping. We show that RDT can greatly enhance user perception by transforming its shapes dynamically in several ways:(1) disc tree which can significantly reduce the occluded region by the foreground objects, (2) compact disc tree which can increase the number of nodes displayed on the screen, and (3) plane disc tree which can be mapped onto the plane without visual overlapping. We describe an implementation of our visualization system called VISIT (Visual Information System for reconfigurable dIsc Tree). It provides 2D and 3D layouts for RDT and various user interface features such as tree reconfiguration, tree transformation, tree shading, viewing transformation, animation, selection and browsing which can enhance the user perception and navigation capabilities. We also evaluate our system using the following three metrics: percentage of occlusion, density of displayed nodes on a screen. number of identifiable nodes."
209,Drawing Trees: How Many Circles to Use?,"In this paper, we proposed a new approach for drawing rooted trees on circles. Previous approaches either draw entire tree on a single circle or draw too many circles that every node and its children are on a new circle. As a result, they only work well on limited kinds of trees. In contrary, our approach adaptively choose how many circles to use based on a single user input and it can be generalized well to all kinds of trees. Our approach has three phases. First, we recursively divide the tree into a hierarchy of subtrees according to the user input. The subtrees are then processed from bottom to top of the hierarchy and each of them is drawn around a separated circle. Finally, layout of subtrees are assembled together to form the layout of the entire tree. Comparing to previous methods, our approach obtains both compact and pleasing tree drawings with less bends. Furthermore, our method naturally supports visualization interactions, such as locally zooming in/out, when user navigates the drawings. Several examples are provided to demonstrate the effectiveness of our approach."
210,MetNetGE: Visualizing Biological Networks in Hierarchical Views and 3D Tiered Layouts,"Linking experimental data with large-scale biomedical networks is key for achieving new discoveries in system biology research. Visualization tools that facilitate these tasks often result in a dense Web of connections that resembles a tangled hairball and is difficult to interpret. MetNetGE is an interactive pathway navigation tool based on Google Earth that features novel visualization techniques for pathway information display. Instead of simply showing all the pathways in a network in a complex graph, MetNetGE visualizes the entire network of pathways based on the hierarchical pathway ontology using a novel radial space filling (RSF) method. Orbits show when pathways belong to multiple categories. Mapping cumulative experiment statistics on the RSF drawing aids biologists in easily identifying highly activated pathways in an experiment. After identifying key pathways, biologists can fly to the corresponding region and see the detailed pathway and experimental data in an aligned 3D tiered layout with simplified cross-layer connection patterns."
211,Visualizing Multivariate Hierarchic Data Using Enhanced Radial Space-Filling Layout,"Currently, visualization tools for large ontologies (e.g., pathway and gene ontologies) result in a very flat wide tree that is difficult to fit on a single display. This paper develops the concept of using an enhanced radial space-filling (ERSF) layout to show biological ontologies efficiently. The ERSF technique represents ontology terms as circular regions in 3D. Orbital connections in a third dimension correspond to non-tree edges in the ontology that exist when an ontology term belongs to multiple categories. Biologists can use the ERSF layout to identify highly activated pathway or gene ontology categories by mapping experimental statistics such as coefficient of variation and overrepresentation values onto the visualization. This paper illustrates the use of the ERSF layout to explore pathway and gene ontologies using a gene expression dataset from E. coli."
212,MetNetGE: interactive views of biological networks and ontologies,"Linking high-throughput experimental data with biological networks is a key step for understanding complex biological systems. Currently, visualization tools for large metabolic networks often result in a dense web of connections that is difficult to interpret biologically. The MetNetGE application organizes and visualizes biological networks in a meaningful way to improve performance and biological interpretability. MetNetGE is an interactive visualization tool based on the Google Earth platform. MetNetGE features novel visualization techniques for pathway and ontology information display. Instead of simply showing hundreds of pathways in a complex graph, MetNetGE gives an overview of the network using the hierarchical pathway ontology using a novel layout, called the Enhanced Radial Space-Filling (ERSF) approach that allows the network to be summarized compactly. The non-tree edges in the pathway or gene ontology, which represent pathways or genes that belong to multiple categories, are linked using orbital connections in a third dimension. Biologists can easily identify highly activated pathways or gene ontology categories by mapping of summary experiment statistics such as coefficient of variation and overrepresentation values onto the visualization. After identifying such pathways, biologists can focus on the corresponding region to explore detailed pathway structure and experimental data in an aligned 3D tiered layout. In this paper, the use of MetNetGE is illustrated with pathway diagrams and data from E. coli and Arabidopsis. MetNetGE is a visualization tool that organizes biological networks according to a hierarchical ontology structure. The ERSF technique assigns attributes in 3D space, such as color, height, and transparency, to any ontological structure. For hierarchical data, the novel ERSF layout enables the user to identify pathways or categories that are differentially regulated in particular experiments. MetNetGE also displays complex biological pathway in an aligned 3D tiered layout for exploration."
213,Tree-Maps: A space-filling approach to the visualization of hierarchical information structures,"A method for visualizing hierarchically structured information is described. The tree-map visualization technique makes 100% use of the available display space, mapping the full hierarchy onto a rectangular region in a space-filling manner. This efficient use of space allows very large hierarchies to be displayed in their entirety and facilitates the presentation of semantic information. Tree-maps can depict both the structure and content of the hierarchy. However, the approach is best suited to hierarchies in which the content of the leaf nodes and the structure of the hierarchy are of primary importance, and the content information associated with internal nodes is largely derived from their children."
214,TreeViz: Treemap visualization of hierarchically structured information,"TreeViz is an Apple Macintosh implementation of the treemap technique for visualizing hierarchical information structures. TreeViz enables users to visualize and browse large hierarchically structured information spaces. TreeViz enables the drawing of hierarchies an order of magnitude larger (number of nodes) than is possible with typical presentation methods, given the same display space."
215,Treemaps: Visualizing hierarchical and categorical data,"Treemaps are a graphically based method for the visualization of hierarchical or categorical data spaces. Treemap presentations of data shift mental workload from the cognitive to the perceptual systems, taking advantage of the human visual processing system to increase the bandwidth of the human-computer interface. Efficient use of display space allows for the simultaneous presentation of thousands of data records, as well as facilitating the presentation of semantic information. Treemaps let users see the forest and the trees by providing local detail in the context of a global overview, providing a visually engaging environment in which to analyze, search, explore and manipulate large hierarchical and categorical data spaces. The treemap method of hierarchical visualization, at its core, is based on the property of containment. This property of containment is a fundamental idea which powerfully encapsulates many of our reasons for constructing information hierarchies. All members of the treemap family of algorithms partition multi-dimensional display spaces based on weighted hierarchical data sets. In addition to generating treemaps and standard traditional hierarchical diagrams, the treemap algorithms extend non-hierarchical techniques such as bar and pie charts into the domain of hierarchical presentation. Treemap algorithms can be used to generate bar charts, outlines, traditional 2-D node and link diagrams, pie charts, cone trees, cam trees, drum trees, etc. Generating existing diagrams via treemap transformations is an excercise meant to show the power, ease, and generality with which alternative presentations can be generated from the basic treemap algorithms. Controlled experiments with novice treemap users and real data highlight the strengths of treemaps and provide direction for improvement. Experimental results show that treemaps are a powerful visualization tool for large data sets, significantly reducing user performance times for global comparison tasks. Effective visualizations of large data sets can help users gain insight into relevant features of the data, construct accurate mental models of the information, and locate regions of particular interest. Treemaps are based on simple, fundamental ideas, but they are the building blocks with which an entire world of unique and exciting visualizations can be built."
216,Application of Helix Cone Tree Visualizations to Dynamic Call Graph Illustration,"We describe a tool that enables users to record and visualise runtime behaviour of software applications developed in Java. The execution trace, stored in the form of an XML file is visualized using 3D call graphs that are an extension of the Cone Tree information visualisation technique. This tool gives the user the ability to create several call graph views from a program's execution trace, providing additional representations of the program execution to both novice and expert programmers for the purposes of program execution analysis."
217,Visualization of mappings between the gene ontology and cluster trees,"Ontologies and hierarchical clustering are both important tools in biology and medicine to study high-throughput data such as transcriptomics and metabolomics data. Enrichment of ontology terms in the data is used to identify statistically overrepresented ontology terms, giving insight into relevant biological processes or functional modules. Hierarchical clustering is a standard method to analyze and visualize data to find relatively homogeneous clusters of experimental data points. Both methods support the analysis of the same data set, but are usually considered independently. However, often a combined view is desired: visualizing a large data set in the context of an ontology under consideration of a clustering of the data. This paper proposes a new visualization method for this task."
218,InfoSky: Visual Exploration of Large Hierarchical Document Repositories,
219,Visualization of Complex Structures on Mobile Handhelds,"Information Visualization has become an important research topic in Computer Graphics. One key issue of this topic is the visual presentation of intrinsic structures of complex information spaces. Today nearly all approaches of structure visualization are designed for none-mobile devices such as PCs or workstations. However, mobile handhelds have become more popular in recent years, and are increasingly used in different application domains. Limited resources of these devices require new paradigms for information presentation and interaction such as new methods for structure visualization based on new metaphors for efficient screen space usage. This paper describes how recent techniques of structure visualization can be adapted or redesigned for mobile pocket-sized devices."
220,Generating an Outside-in Hierarchical Tree Visualization,"A data visualization tool (``tool'') configured to generate a visualization for tree data. The tool can calculate a number of hierarchical levels of the tree data. The tool can further subdivide a presentation area for the data visualization into a number of concentric parts. The concentric parts are equivalent to the number of hierarchical levels. Each of the concentric parts corresponds to one of the hierarchical levels. Further, the tool can graphically generate the data visualization for presentation via an electronic display. A first of the concentric parts that corresponds to a highest of the hierarchal levels is an outermost one of the concentric parts in the presentation area. Each successive concentric part inward corresponds to a next lower hierarchical level."
221,Thread Arcs: An email thread visualization,"This paper describes Thread Arcs, a novel interactive visualization technique designed to help people use threads found in email. Thread Arcs combine the chronology of messages with the branching tree structure of a conversational thread in a mixed-model visualization by Venolia and Neustaedter (2003) that is stable and compact. By quickly scanning and interacting with Thread Arcs, people can see various attributes of conversations and find relevant messages in them easily. We tested this technique against other visualization techniques with users' own email in a functional prototype email client. Thread Arcs proved an excellent match for the types of threads found in users' email for the qualities users wanted in small-scale visualizations."
222,Effective Visualization of Hierarchical Graphs With the Cityscape Metaphor,"In this paper, we describe an implementation of the cityscape metaphor to visualize trees. The cityscape metaphor is a generalization of barcharts in 3D. Our approach serves for better exploitation of human perception capabilities. To achieve this we employ effective visual cues like node position and size. We determine node positions in terms of perceptual organization. Further we determine node sizes for providing redundant hierarchical information. Redundancy aides in better understanding the tree structure. Finally, we point out some of the advantages of this approach to other spatial metaphors such as cone trees."
223,Geophylogenies and the Map of Life,"One hundred and fifty years after Charles Darwin wrote his ``Origin of Species'', two major ongoing Web-based scientific projects are collating information on the earth's biological diversity. The Encyclopaedia of Life (EoL) provides a single interface through which information on each being of the same class can be accessed, whereas The Tree of Life (ToL) Web project places these classes onto an evolutionary tree. Here, I propose that a third complementary project should now be considered, the Map of Life (MoL), in which all we know about the biogeographical history of life -- including clades, species, their genes, and the communities they are members of -- is threaded through a dynamic earth history, capturing the spatiotemporal pathways that underlie current and past patterns of biodiversity."
224,"InfoSky: A System for Visual Exploration of Very Large, Hierarchically Structured Knowledge Spaces","This publication presents InfoSky, a system enabling exploration of large, hierarchically structured knowledge spaces. InfoSky employs a two-dimensional graphical representation with variable magnification, much like a real-world telescope, to visualise individual documents as stars, hierarchical structures as constellations, and the whole knowledge repository as a galaxy. Force-directed placement is used to position topically similar documents in geometric adjacency, and modified Voronoi diagrams are employed to construct non-overlapping constellation boundaries, while statistical text processing extracts abstracts and keywords from documents and collections. InfoSky combines hierarchy and topical similarity in a visualisation using a striking, well-known metaphor, providing users with a tool appropriate for today’s large, hierarchically structured document repositories."
225,H-v drawings of binary trees,"This chapter considers h-v drawings of binary trees and presents new results on it. We prove that binary trees with n nodes can be h-v drawn so that the total edge length is O(n log log n), and so that the maximum edge length is O(SQRT(n log n)."
226,"Three-Dimensional Phylogeny Explorer: Distinguishing paralogs, lateral transfer, and violation of ''molecular clock´´ assumption with 3D visualization","Construction and interpretation of phylogenetic trees has been a major research topic for understanding the evolution of genes. Increases in sequence data and complexity are creating a need for more powerful and insightful tree visualization tools. We have developed 3D Phylogeny Explorer (3DPE), a novel phylogeny tree viewer that maps trees onto three spatial axes (species on the X-axis; paralogs on Z; evolutionary distance on Y), enabling one to distinguish at a glance evolutionary features such as speciation; gene duplication and paralog evolution; lateral gene transfer; and violation of the ""molecular clock"" assumption. Users can input any tree on the online 3DPE, then rotate, scroll, rescale, and explore it interactively as ""live"" 3D views. All objects in 3DPE are clickable to display subtrees, connectivity path highlighting, sequence alignments, and gene summary views, and etc. To illustrate the value of this visualization approach for microbial genomes, we also generated 3D phylogeny analyses for all clusters from the public COG database. We constructed tree views using well-established methods and graph algorithms. We used Scientific Python to generate VRML2 3D views viewable in any web browser. 3DPE provides a novel phylogenetic tree projection method into 3D space and its web-based implementation with live 3D features for reconstruction of phylogenetic trees of COG database."
